mass,dispersion,kinetic_energy,mean_radius,Group_M_Crit200,Group_M_Crit500,Group_M_Mean200,Group_M_TopHat200,Group_R_Crit200,Group_R_Crit500,Group_R_Mean200,Group_R_TopHat200
391,85.55397,7894015.841796875,47.684681580376264,550.3497,392.98325,843.84174,689.8952,287.14227,189.10669,510.6528,393.55807
302,66.32518,9285747.94921875,60.548685456803064,412.66962,305.84247,698.46014,553.21533,260.8717,173.93561,479.4593,365.6305
340,73.55625,6628881.71875,41.331698805781926,415.00916,290.6138,802.0541,504.32095,261.36023,171.00691,502.09244,354.5422
349,91.406425,5655493.5361328125,42.597486996740784,619.0618,392.37997,965.57043,853.6426,298.62677,189.00949,534.1075,422.5267
365,85.04401,7048781.62109375,45.13696198144113,654.2844,500.9535,932.5661,796.09216,304.18607,205.04077,527.9526,412.80914
326,86.7617,36270136.015625,41.97267060987423,595.53284,418.20316,892.92126,749.9166,294.79486,193.06929,520.3672,404.6727
527,299.0044,97157332.984375,66.8993165487324,636.23004,475.0513,887.25146,772.0385,301.36017,201.44133,519.268,408.59146
341,73.09648,15668142.7890625,56.665990010129754,601.4244,397.36188,861.1989,734.6463,295.7657,189.79933,514.12854,401.88992
349,84.38637,8605305.951171875,45.81520711646953,668.58435,432.31476,925.89856,822.5234,306.3933,195.21088,526.71423,417.31085
300,78.8833,1004507.958984375,49.64853031560954,637.5397,425.10645,854.8869,757.4235,301.55627,194.1268,512.8697,405.99652
409,83.96045,4024189.34375,46.39029344778792,637.22046,476.70703,923.0639,779.59766,301.5207,201.67429,526.15247,409.93823
274,82.56599,9202129.453125,50.285804253039444,325.14902,248.25134,498.35925,409.07376,240.93666,162.25284,428.45575,330.63266
337,92.1624,12589877.6875,47.717504179054934,395.37558,284.9035,625.39044,522.98737,257.17548,169.88295,462.12207,358.86755
330,77.406685,1318788.92578125,53.47650942747549,598.4172,452.1792,908.6508,778.45654,295.26364,198.16113,523.4029,409.71667
431,92.131325,28281425.34375,45.39777536193266,609.2143,456.8034,912.40826,766.2097,297.04144,198.83395,524.1244,407.5573
351,76.92301,12428966.21484375,53.08857206946708,462.1231,306.42004,772.11487,652.21515,270.8932,174.05273,495.75446,386.25964
353,154.83704,151045302.375,48.085556075863366,567.8408,321.1022,854.1835,739.3053,290.149,176.78444,512.7461,402.74295
292,79.56224,13850270.609375,53.92721512603817,483.52957,380.83994,825.9448,624.1624,275.01746,187.13326,507.02084,380.63022
308,87.02349,11937953.671875,41.599057289592665,487.61688,343.68393,812.34436,710.1981,275.78754,180.83574,504.23135,397.38486
319,92.75239,23737567.5625,52.41088744761793,635.0724,485.42783,858.58136,743.163,301.16968,202.90198,513.6251,403.45093
401,86.41632,66829406.875,53.91892740422305,369.8387,259.45438,712.6805,558.6533,251.51003,164.66647,482.70425,366.82816
391,88.60272,7545994.53125,41.86491395557636,653.2341,509.1407,853.29126,764.9108,304.01456,206.14723,512.5613,407.33395
318,78.71863,19900124.484375,48.73479330134683,411.2292,306.38412,575.6046,491.54135,260.56116,174.05121,449.5329,351.52536
350,79.28746,1190132.1899414062,42.39164150550495,513.09265,389.3471,762.32874,620.78754,280.51434,188.51804,493.66382,379.95105
333,84.5294,9871207.453125,47.65120106451279,554.8471,433.51108,783.06976,674.0425,287.9314,195.38663,498.1053,390.51422
315,82.01884,2016099.052734375,50.51291362967865,527.9324,398.43198,814.4789,687.3948,283.18994,189.96623,504.67154,393.09692
312,77.74883,10096657.59375,52.429207292727114,550.7281,402.2885,771.94403,682.73676,287.20605,190.57886,495.72403,392.20825
355,77.75481,3546010.7568359375,53.16414688182135,573.2558,435.5661,803.81934,695.35333,291.07678,195.70633,502.4449,394.59167
342,84.951584,24464483.71875,44.54585423900649,222.38782,144.0215,355.71902,290.0115,212.28217,135.3231,382.90802,294.8258
303,81.85322,2113947.556640625,45.86666786134703,386.5293,273.5046,542.8078,470.8373,255.24545,167.581,440.81012,346.51697
340,83.455734,7711346.09375,52.239233340469305,176.06856,118.34589,421.98352,252.85487,196.38356,126.751755,405.33765,281.64908
349,78.28005,7265154.130859375,49.99493626702358,390.38293,304.2929,590.1337,494.67346,256.07928,173.64569,453.27344,352.268
339,82.218376,11586061.265625,48.57104071454255,513.0963,374.4669,794.5091,650.2686,280.51038,186.07753,500.5115,385.8701
369,88.348335,151084282.5,41.51411510474103,600.65765,447.20587,798.14,723.4123,295.62875,197.4308,501.25803,399.82327
